Country,ISO2,ISO3,Indicator,Series,Variable,Model,Scenarios,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Below 2°C,Degree Celsius,,,,,22.33648,22.76902,23.17401,23.50018,23.7397,23.87023,24.03714
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Degree Celsius,,,,,22.2545,22.6407,22.90508,23.20495,23.53695,23.78133,24.05711
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,22.33622,22.75835,23.06258,23.49266,23.81846,23.96731,24.13611
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Fragmented World,Degree Celsius,,,,,22.25462,22.64002,22.9061,23.26325,23.59344,23.79764,23.99577
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Low Demand,Degree Celsius,,,,,22.33651,22.77233,23.24799,23.54422,23.70901,23.75035,23.79441
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Degree Celsius,,,,,22.25486,22.64608,22.91702,23.21108,23.52593,23.72825,23.95222
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Degree Celsius,,,,,22.33651,22.77104,23.20165,23.4707,23.59829,23.63596,23.68562
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Below 2°C,Degree Celsius,,,,,22.24750837,22.75301221,23.05577693,23.38928646,23.63725773,23.7568444,23.88536026
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Current Policies (Hot house world scenario),Degree Celsius,,,,,22.24750837,22.62984664,22.87160232,23.18944793,23.49915215,23.76265849,24.06556768
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,22.24750837,22.62984664,22.87160232,23.38444371,23.70188865,23.8418901,23.95854654
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Fragmented World,Degree Celsius,,,,,22.24750837,22.62984664,22.87160232,23.18463782,23.49662298,23.72694312,23.95167188
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Low Demand,Degree Celsius,,,,,22.24750837,22.75783506,23.10431063,23.40876558,23.54617633,23.54340269,23.57814652
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Degree Celsius,,,,,22.24750837,22.62618428,22.87662683,23.18329021,23.4716646,23.64472479,23.83811884
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Degree Celsius,,,,,22.24750837,22.75835447,23.06717636,23.34929014,23.47929095,23.48042299,23.51889995
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Below 2°C,Mt CO2/yr,,,,,0.0224,0.0254,0.0353,0.411,1.2782,1.7007,1.782
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Current Policies (Hot house world scenario),Mt CO2/yr,,,,,0.0224,0.0245,0.026,0.0265,0.0263,0.0214,0.0161
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Delayed Transition (Disorderly scenario),Mt CO2/yr,,,,,0.0226,0.0247,0.0262,0.0708,0.2077,0.2056,0.3408
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Fragmented World,Mt CO2/yr,,,,,0.0228,0.025,0.0267,0.0186,0.003,0.0013,0.001
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Low Demand,Mt CO2/yr,,,,,0.0221,0.0245,0.0459,1.5761,2.6546,2.326,3.2863
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Nationally Determined Contributions (NDCs),Mt CO2/yr,,,,,0.0227,0.0248,0.0222,0.0245,0.0332,0.0486,0.0868
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Net Zero 2050 (Orderly scenario),Mt CO2/yr,,,,,0.0219,0.0245,0.1578,1.5486,2.1775,1.8368,1.9591
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Below 2°C,Mt CO2/yr,,,,,0.0,0.0,0.1088,0.3002,0.4373,0.8681,1.6334
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Mt CO2/yr,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Mt CO2/yr,,,,,0.0,0.0,0.0,0.1029,0.2856,0.5841,1.0189
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Fragmented World,Mt CO2/yr,,,,,0.0,0.0,0.0,0.1051,0.2885,0.6121,1.2813
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Low Demand,Mt CO2/yr,,,,,0.0,0.0,0.0474,1.1081,2.5803,5.0275,6.6542
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Mt CO2/yr,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
